"","-*","Input file number","Language(s) of the main text","Other Language(s) in the main text","Full Title (native language)","Author's name (transliterated)","Dates of the author","Translator","Dates of the translator","Editor","Dates of the editor","Year of this edition-heze barlasan tuhai","Format of the book","Cover type","Condition of book","Readability of book","Volume","Page numbers","Size of printed area","Size of pages","Text Format","Publisher","Copyright owner","Location of printing-","Colophon","Uuree"
"2410","M0058177-018","W1NLM264-I1N1M264","Tibetan","N","*, ,SANGS RGYAS BCOM 'DAS MNYAN YOD NA RGYAL BU BYED KYI TSAL MGON MED ZAS SBYIN GYI KUN DGA' RAB NA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1B-3A","38x7","44x9.5","MS",NA,NA,NA,NA,"Uuree"
"2411","M0058177-019","W1NLM264-I1N1M264","Tibetan","N","*, ,'DU SHES MED MIN SKYE MCHED LAS BZHENGS NAS 'DU SHES DANG TSOR BA 'GOG PA LA SNYOMS PAR BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-1B","38x7","44x9.5","MS",NA,NA,NA,NA,"Uuree"
"2412","M0058177-020","W1NLM264-I1N1M264","Tibetan","N","*, ,MKHAS GRUB SANGS RGYAS YE SHES KYI BKA' 'BUM KAR CHAG BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-3A","38x7","44x9.5","MS",NA,NA,NA,NA,"Uuree"
"2413","M0058178-001","W1NLM265-I1N1M265","Tibetan","N","*, ,GZA' DANG RGYU SKAR GYI MDOS BZHUGS SO, ,","SLOB DPON PADMA 'BYUNG GNAS,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-13A","22x7","27x8","MS",NA,NA,NA,"@013A *, ,(GZA' DANG RGYU SKAR GYI GNOD PA BZLOG PA'I CHO GA SLOB DPON PADMAS MDZAD PA A'ITH'i, ,MANGGA LAm, ,)","Uuree"
"2414","M0058178-002","W1NLM265-I1N1M265","Tibetan","N","*, ,SPAR KHA BRGYAD KYI MDOS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-6B","26x9","32x10","MS",NA,NA,NA,NA,"Uuree"
"2415","M0058178-003","W1NLM265-I1N1M265","Tibetan","N","*, ,CHU NAG BSKOR MDOS ZHES BYA BA BZHUGS SO, ,","SLOB DPON PADMA 'BYUNG GNAS,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-1B","32x6.5","34x7.5","MS",NA,NA,NA,"@001A *, ,(CES PA 'DI NI SLOB DPON PADMA 'BYUNG GNAS KYI MDZAD PA CHU NAG GA-YON BSKOR @001B BA GNOD PHYOGS 'PHEN BSKOR MDOS ZHES BYA BA PHAN YON NI RIMS NAD YAMS NAD GDON BGEGS BAR CHAD GANG YIN PA NAD BDAG MA MO GDON RGYAL GONG SKYIN MA 'BYUNG PO TH'U RANG SOGS BYIS PA'I NAD SRI PHUNG SRI SOG RNAMS LA BZLOG PAR NAN PA'O, ,SA MA YA:RGYA:RGYA:RGYA: DGE'O, ,)","Uuree"
"2416","M0058178-004","W1NLM265-I1N1M265","Tibetan","N","*, ,MKHYEN PA'I GTING MTHA' MI MNGON ZHING, ,BYANG CHUB SPYOD PA'I RLABS 'PHRENG GA-YO, LEGS BSHAD RIN CHEN 'BYUNG BA'I GNAS,","SLOB DPON RNAMS,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1B-14B","28x7","34x9","MS",NA,NA,NA,"@012B (ZHES PA 'DI YANG SLOB MA RNAMS KYI ZHI BDUN MA'I BSKOR MGO'I LAG LEN RNAMS KHAR DANG LAG PA SPRAD PA 'TSUGS PA MED CING, ZHAL GSAL BA ZHIG DANG, ,DE DAG GI 'GREL PA GANG DU DRIL BA'I RGYAS BSDUS 'TSAMS ZHIG RTZOM DGOS ZHES NAN GYIS BSKUL BA'I NGOR BGYIS SO, )","Uuree"
"2417","M0058178-005","W1NLM265-I1N1M265","Tibetan","N","*, ,'BYUNG RTZIS LUGS KYI LO SKEG BRTAG PA MAN NGAG DON BSDUS ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-24B","30x6","35.5x7.5","MS",NA,NA,NA,NA,"Uuree"
"2418","M0058178-006","W1NLM265-I1N1M265","Tibetan","N","*, ,CHOS SKYONG LCAM SRING LA 'PHRIN LAS BCOL PA'I TSUL LAS BZHI LHUN GYIS 'GRUB PA'I SGRA DBYANGS ZHES BYA BA BZHGS SO, ,","BSKAL BZANG YE SHES,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-4A","30x6","34x8","MS",NA,NA,NA,"@004A *, ,(CHOS SKYONG LCAM SRING LA 'PHRIN LAS BCOL PA'I TSUL LAS BZHI LHUN GYIS 'GRUB PA'I SGRA DBYANGS ZHES BYA BA 'DI NI NUB GLING GRVA TSANG GI BLA MA DGE BSKOS SOGS KYIS BSKUL BA'I MNGON SNYOMS LAS PA ^BSKAL BZANG YE SHES KYIS DAM PA'I GSUNG BZHIN SBYAR BA'O, ,SHU BHAm MASTU SARBA DZA GA TAm, ,)","Uuree"
"2419","M0058178-007","W1NLM265-I1N1M265","Tibetan","N","*, ,DUR GYI RDZONGS 'DEBS ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-9A","30x7.5","35x9","MS",NA,NA,NA,NA,"Uuree"
"2420","M0058178-008","W1NLM265-I1N1M265","Tibetan","N","*, ,DUR RDZONGS KYI THEM BUR THEM KHA NI,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-2B","28x6.5","35.5x9","MS",NA,NA,NA,NA,"Uuree"
"2421","M0058178-009","W1NLM265-I1N1M265","Tibetan","N","*, ,'PHAGS PA MDO SDONG PO BRGYAN PA MDO BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-2B","30x7.5","35x9","MS",NA,NA,NA,"@002B (SDONG PO BRGYAN PA'I MDO RDZOGS SO, ,)","Uuree"
"2422","M0058178-010","W1NLM265-I1N1M265","Tibetan","N","*, ,'PHAGS PA BAR DU GCOD PA THAMS CAD SEL BA'I GZUNGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","2B-3A","30x7.5","35x9","MS",NA,NA,NA,"@003A *, ,'PHAGS PA BAR DU GCOD PA THAMS CAD SEL BA'I GZUNGS RDZOGS SO,, ,,MANGGA LAm, ,","Uuree"
"2423","M0058178-011","W1NLM265-I1N1M265","Tibetan","N","*, ,RJE BTZUN RIG PA CHEN MO'I BDAG BSKYED ZHES BYA BA BZHUGS SO, ,","LCAN SKYA ROL PA'I RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-4B","30.5x6.5","35x9","MS",NA,NA,NA,"@004A *, ,(CES GZA' YUM GYI CHO GA BKRA SHIS RAB RGYAS ZHES BYA BA 'DI NI GRUB CHEN BAR BA TAR PA PAn AARYA GNYIS LAS BRGYUD PA'I MAN NGAG DGE'I MKHAS PA TSAD LDAN DU MA'I GZHUNG RNAMS DANG BKRA SHIS YA SA MU TZTSA LA LEGS PAR DPYAD DE RANG BZHIN LA PHAN THOGS PAR 'DOD PA'I BSAM PAS RGYAL KHAMS NYUL BA'I RIG PA 'DZIN PA LCAN SKYA ROL PA'I RDO RJE LAG TU BLANG BA BDE BAR BSGRIGS PA'I YI GE PA NI @004B RNAM DPYOD PHUN TSOGS PA NYE GNAS DGE SLONG DGE LEGS NAM MKHA' BGYIS PA 'DI KYANG PHYOGS DUS THAMS CAD DU BKRA SHIS PAR GYUR CIG , ,,)","Uuree"
"2424","M0058178-012","W1NLM265-I1N1M265","Tibetan","N","*, ,RJE BTZUN 'PHAGS MA SGROL MA'I BSGRUB THABS BZHUGS S+HO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-7B","25x6","29x7.5","MS",NA,NA,NA,NA,"Uuree"
"2425","M0058178-013","W1NLM265-I1N1M265","Tibetan","N","*, ,RJE BTZUN 'PHAGS MA SGROL MA LA RTEN PA'I GLUD SBYIN PA SA SKYA BA'I GSUNGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1B-5B","27x6","30.5x8","MS",NA,NA,NA,NA,"Uuree"
"2426","M0058178-014","W1NLM265-I1N1M265","Tibetan","N","*, ,RJE BTZUN MA 'PHAGS MA SGROL MA'I MTSAN BRGYA RTZA BRGYAD PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-9A","24.5x6","30x7.5","MS",NA,NA,NA,NA,"Uuree"
"2427","M0058178-015","W1NLM265-I1N1M265","Tibetan","N","*, ,RGYAL BA'I YAB CIG 'JAM PA'I DBYANGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1B-15B","25x6","29x8","MS",NA,NA,NA,NA,"Uuree"
"2428","M0058178-016","W1NLM265-I1N1M265","Tibetan","N","*, ,RTEN 'BREL SNYING PO'I GZUNGS SNGAGS KYI SGO NAS YUL KHRUS SOGS BYA TSUL GYI CHO GA DGE LEGS CHAR 'BEBS ZHES BYA BA BZHUGS SO, ,","DGE SLONG MANGGA LA BADZRA,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-14B","29x6","33.5x8","MS",NA,NA,NA,"@014A *, ,(CES RTEN 'BREL SNYING PO'I GZUNGS SNGAGS KYI SGO NAS YUL KHRUS SOGS BYA TSUL DGE LEGS CHAR 'BEBS ZHES BYA BA 'DI NI, T'A RE GANGGA'I AER TE NI MER GEN HU THOG THU'I GSOL DPON CHOS MIG YANGS PA @014B DGE TSUL DPAL LDAN DAM CHOS KYIS 'DI LTA BU ZHIG DGOS ZHES BSKUL BA LA BRTEN NAS, BLA MA DAM PA RNAMS KYI ZHABS RDUL SPYI BOS LEN PA'I BAN RGAN ^DAM TSIG RDO RJES SBYAR BA'I YI GE PA NI, DPYOD LDAN DGE SLONG MANGGA LA BADZRA GYIS BGYIS PA'O, ,DGE LEGS 'PHEL, ,)","Uuree"
"2429","M0058178-017","W1NLM265-I1N1M265","Tibetan","N","*, ,DPAL LDAN LHA MO MA MO MDOS GLUD BZHUGS SO, ,BKRA SHIS, ,","DAM TSIG RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-6A","28.5x5.5","33x7.5","MS",NA,NA,NA,"@006A *, ,(CES BDAG GI BLA MA RDO RJE 'CHANG DAM TSIG RDO RJE DPAL BZANG PO'I MDZAD PA'I RGYAL KUN YUM GCIG DPAL LDAN LHA MO 'KHOR DANG BCAS PA'I THUGS DAM BSKANG BA'I MDOS CHOG LAG TU BLANG BDE BAR BKOD PA BDE LEGS KUN 'BYUNG ZHES BYA BA DE'I NANG NAS, LHA MO'I MDOS GLUD GYI 'DON CHA ZUR DU BRIS PA'O, ,)","Uuree"
"2430","M0058178-018","W1NLM265-I1N1M265","Tibetan","N","*, ,BTZAN MDOS BAR CHAD KUN SEL ZHES BYA BA BZHUGS SO, ,","JAM DPAL BSTAN 'DZIN,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-6A","26x6","31x7.5","MS",NA,NA,NA,"@007A *, ,(ZHES PA 'DI NI BTZAN MDOS PAR CHAD KUN SEL BYA BA THA SHAL 'JAM DPAL BSTAN 'DZIN GYI MDO PHYOGS RNAMS LA BRIS PA'O, ,)","Uuree"
"2431","M0058178-019","W1NLM265-I1N1M265","Tibetan","N","*, ,SKYER SGANG PA LUGS KYI RTA MGRIN GSANG SGRUB KYI SGRUB THABS BGEGS DPUNG KUN 'JOMS BZHUGS SO, ,","BLO BZANG CHOS KYI RGYAL,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-8B","28x8.5","36x9.5","MS",NA,NA,NA,"@008A *, ,(CES SKYER SKANG PA LUGS KYI RTA MGRIN @008B BSANG SGRUB KYI SGRUB THABS BGEGS DBUNG KUN 'JOMS ZHES BYA BA 'DI YANG DAD PA DANG GDONG BA DANG SHES RAB DANG, RNAM DPYOD SOGS DAM PAS BSNGAGS PA'I YON TAN DANG LDAN PA, BSKAL BZANG MGON PO DBANG GI RGYAL POS 'DI LTA BU ZHIG DGOS ZHES NAN GYI BSKUL BA LA BRTEN NAS, CHOS SMRA BA'I BTZUN PA BLO BZANG CHOS KYI RGYAL GYIS CHOS GRVA CHEN PO BKRA SHIS LHUN POR 'PHRAD DU SBYAR BA'O,) ,MANGGA LAm, ,BKRA SHIS 'BAR GYUR CIG , ,,","Uuree"
"2432","M0058178-020","W1NLM265-I1N1M265","Tibetan","N","*, ,BLA TSE 'BOS PA'I 'CHI MED TSE BYIN GSER GYI RDO RJE ZHES BYA BA BZHUGS SO, ,","NGAG DBANG DGE LEGS,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-5B","28x8.5","36x9.5","MS",NA,NA,NA,"@005B CES PA 'DI NI 'GRO BA MANG PO LA PHAN PA'I PHYIR, TSE CHOG DANG DPE CHA MANG PO NAS MDOR BSDUS TE, NGAG DBANG DGE LEGS SBYAR BAS DGE 'DIS TSE RING ZHING BDE BA CAN DU SKYE BAR SHOG , ,,BKRA SHIS PAR GYUR CIG , ,,","Uuree"
"2433","M0058178-021","W1NLM265-I1N1M265","Tibetan","N","*, ,RGYAL CHEN RNAM THOS SRAS KYI GTONG RAG RGYAS PA 'BUL CHOG SRID ZHI'I 'DOD DGU'I CHAR 'BEBS ZHES BYA BA BZHUGS SO, ,","MI BSKYOD DGYES BZHAD RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-8A","28x8.5","36x9.5","MS",NA,NA,NA,"@006B (DE LTAR RGYAL CHEN RNAM MANG THOS LA GTANG RAG RGYAS PA 'BUL CHOG SRID ZHI'I 'DOD DGU'I CHAR 'BEBS ZHES BYA BA 'DI YANG, MKHAS MANG BYES PA GRVA TSANG GI YI DAM THUGS RJE CAN GYI BSHAD SGRUB BSTAN PA 'DZIN PA'I RIG PA 'DZIN PA'I ZHABS DRUNG BLO BZANG DPAL LDAN SANGS RGYAS BSTAN PA'I RGYAL MTSAN GYIS BSKUL BA'I NGOR, ^SNANG MTHA' MGON PO SKYABS MGON PAn CHEN THAMS CAD MKHYEN GZIGS CHEN PO DANG, ^SKYABS MGON RDO RJE 'CHANG RTA TSAG RJE DRUNG RIN PO CHE RJE BTZUN YE SHES BSTAN PA'I MGON PO DPAL BZANG PO, ^RGYUD SMAD RDO RJE 'DZIN PA CHEN PO BKA' MDO BRGYUD RAB 'BYAMS LA DBANG BSGYUR BA RNAL 'BYOR BA BLA MED LUGS KYI YI DAM GYI NGA RGYAL BRTAN CING GANG SNANG LHAN SKYIS 'DI STONG GI RNAM ROL LHA SKUR RGYAS 'DEBS PA'I DBANG RNON GYI DBANG DU MDZAD @007A *, ,RJE BTZUN NGAG DBANG CHOS 'PHEL BA'I ZHAL SNGA NAS DANG, ^BKA' DRIN ZLA BRAL DZA YA PAndI TA CHEN PO LAS 'DI'I CHOS SKOR LA NAS ZHING, KHYAD PAR DU ^BKA' DRIN GSUM LDAN RIGS KUN BDAG PO RDO RJE 'CHANG RJE BTZUN SA MA YA MTSAN CAN DPAL BZANG PO'I ZHAL SNGA NAS KYI THUGS RJE'I 'OD ZER SNYING GI BUM PAR 'KHYIL BA'I MTHU LAS 'DI'I CHOS SKOR LA 'KHRUL BA GSAL BAR RLOM PA'I KHOS MED RANG MTHONG CAN GYI BTZUN GZUGS ^MI BSKYOD DGYES BZHAD RDO RJES SA GSUM ZLA BRAL DPAL LDAN BLA MA'I ZHAL GYI MAN NGAG LTAR RANG BZO'I NYES PA GTAN MED 'KHUL DU BRIS PA'O, ,)","Uuree"
"2434","M0058178-022","W1NLM265-I1N1M265","Tibetan","N","*, ,RNAM THOS SRAS KYI MNGA' GSOL 'DOD DGU'I CHAR 'BEBS BZHUGS SO, ,","MI BSKYOD DGYES BZHAD RDO RJ",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","8A-9B","30x8","35.5x9.5","MS",NA,NA,NA,"@009A *, ,(CES RNAM MANG THOS SRAS KYI MNGA' GSOL 'DOD DGU'I CHAR 'BEBS CES BYA BA 'DI YANG, 'DI GA'I DGON KHANG DU RGYUN DU BSTEN BZHIN PA'I RDO RJE CHOS BSRUNG RNAMS KYI RU MTSON MCHOG THUGS RTEN GSAR BZO BTZUGS DUS, ^RIG PA 'DZIN PA'I GZUGS BRNYAN MI BSKYOD DGYES BZHAD RDO RJES MCHOD SPRIN DU SPRO BA'O, ,'DIS YANG TSE RABS THAMS CAD DU BLA MA RGYAL CHEN RNAM SRAS 'KHOR DANG BCAS PAS MNYES BZHIN DU RJES SU @009B 'DZIN PA'I RGYUR GYUR CIG , ,,)","Uuree"
"2435","M0058178-023","W1NLM265-I1N1M265","Tibetan","N","*, ,RNAM SRAS RTA BDAG BRGYAD KYI BKRA SHIS RJE TSAR CHEN GYI MDZAD PA BZHUGS SO, ,","BLO GSAL,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","9B-10A","30x8","35.5x9.5","MS",NA,NA,NA,"@010A *, ,(CES PA BKRA SHIS TSIGS SU BCAD PA GSER GYI RI BO'I GRANGS DANG LDAN PA 'DI YANG ZHA LU GSER KHANG GI MKHAN PO BLO GSAL GYIS SBYAR BA DGE LEGS 'PHEL, ,KA LYAN LPARBHANTU, SHU BHA MA STU SARBA DZA GA TAm, ,)","Uuree"
"2436","M0058179-001","W1NLM266-I1N1M266","Tibetan","N","*, ,DGE SLONG GI BSLAB BYA MDOR BSDUS GO BDE BA BZHUGS, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-89B","43x6.5","53x10","MS",NA,NA,NA,NA,"Uuree"
"2437","M0058179-002","W1NLM266-I1N1M266","Tibetan","N","*, ,'DUL BA'I BSLAB PA YONGS SU SBYONG BA'I THABS DBYAR KHAS BLANG BA'I CHO GA'I RNAM BZHAG BZHUGS SO, ,","NGAG DBANG PA,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Foor","N","1A-18B","44x7","54x10","MS",NA,NA,NA,NA,"Uuree"
"2438","M0058179-003","W1NLM266-I1N1M266","Tibetan","N","*, ,'DUL BA'I BSLAB BYA'I YAN LAG LAM DU 'GRO BA'I TSUL KHRIMS BSRUNG TSUL BZHUGS SO, ,","NGAG DBANG PA,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-4A","44x7","54x10","MS",NA,NA,NA,"@004B 'DI'ANG SRID ZHI'I GTZUG RGYAN BKA' DRIN MTSUNGS MED DE NYID KYI BKA' LUNG SGRUB PA'I YAN LAG TU, BTZUN GZUGS NGAG DBANG PAS BRIS PA'O, ,","Uuree"
"2439","M0058179-004","W1NLM266-I1N1M266","Tibetan","N","*, ,DGE SLONG GI SPANG BYA'I GTZO BO LTUNG BA SDE LNGA'I NANG NAS PHAM PA BZHI'I LTUNG BAS MGON PAR BYA TSUL BRJED BYANG DU BCAS PA BZHUGS SO, ,","NGAG DBANG PA,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-55A","44x7","54x10","MS",NA,NA,NA,"@055A *, ,DE LTAR BKA' DRIN MTSUNGS MED ^RJE BTZUN BSTAN PA'I BDAG PO'I BKA' LUNG SGRUB CHED, 'DUL BA'I BSLAB BYA'I YAN LAG TU BTZUN BZUGS CHOS RJER SGRO BTAGS PA NGAG DBANG PAS, DGE SLONG GI SPANG BYA'I GTZO BO LTUNG BA SDE LNGA'I NANG NAS PHAM PA BZHI'I RNAM BZHAG BRJED BYANG DU BRIS GRUB PA LAGS SHING GZHAN RNAMS KYI RNAM BZHAG KYANG RIM GYIS BRJED BYANG DU BTAB PAR SPRO BZHIN PA'O,, ,,","Uuree"
"2440","M0058179-005","W1NLM266-I1N1M266","Tibetan","N","*, ,SPANG BA'I LTUNG BYED THUN MONG PA'I YAN LAG GI RNAM BZHAG BZHUGS SO, ,","NGAG DBANG PA,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-22A","44x7","54x10","MS",NA,NA,"SA'I NO YON AA'I SMIG GI GSANG BDAG RDO RJE PE'I SI'I SHOG","@022A *, ,(CES PA 'DI YANG ^ RDO RJE 'CHANG RJE BTZUN BKA' DRIN MTSUNGS MED SPANG BA'I SANGS RGYAS DE NYID KYI BZHED DGONGS SGRUB CHED DU, BTZUN GZUGS NGAG GI DBANG PO BGYIS PA STE, NONGS BA MCHIS NA STON PA MCHOG GI SPYAN SNGAR BSHAGS SHING BZOD PAR GSOL LO, ,SPAR 'DI NI SA'I NO YON AA'I SMIG GI GSANG BDAG RDO RJE PE'I SI'I SHOG TU BSGRUBS PA'O, ,)","Uuree"
"2441","M0058179-006","W1NLM266-I1N1M266","Tibetan","N","*, ,DUL BA'I BSLAB PA YONGS SU SBYONG BA'I THABS KYI YAN LAG MTHUN PA'I GSO SBYONG BYA TSUL BZHUGS SO, ,","NGAG DBANG PA,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-17B","44x7","54x10","MS",NA,NA,NA,"@017B (CES PA'ANG ^MTSUNGS MED 'GRO BA'I 'DREN MCHOG RJE BTZUN CHEN PO DE NYID KYI BKA' LUNG SGRUB CHED, 'DUL BA'I BSLAB BYA'I YAN LAG TU BTZUN GZUGS NGAG DBANG PAS BRIS PA'O,, ,,)","Uuree"
"2442","M0058179-007","W1NLM266-I1N1M266","Tibetan","N","*, ,GSO SBYONG GI GZHI NAS GSUNGS PA'I ZHI GNAS KYI GSO SBYONG BYA TSUL BZHUGS SO, ,","NGAG DBANG RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-9B","44x7","54x10","MS",NA,NA,NA,"@009B (CES PA 'DI YANG MTSUNGS MED BSTAN 'GRO'I MGON PO DE NYID KYI BKA' LUNG SGRUB CHEN, BTZUN GZUGS NGAG DBANG RDO RJES BGYIS PA'O,, ,,)","Uuree"
"2443","M0058179-008","W1NLM266-I1N1M266","Tibetan","N","*, ,DGE SLONG GI BSLAB BYA'I YAN LAG SPANG LTUNG THUN MONG PA'I YAN LAG RGYAS BSHAD BZHUGS SO, ,","NGAG DBANG RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","NYA PA,","1A-43A","44x7","54x10","MS",NA,NA,NA,"@043B 'DI NI CHOS RJE NGAG DBANG RDO RJE'I GSUNG NGO, ,","Uuree"
"2444","M0058179-009","W1NLM266-I1N1M266","Tibetan","N","*, ,SPANG BA'I LTUNG BYED THUN MONG PA'I YAN LAG GI RNAM BZHAG BZHUGS SO, ,","NGAG DBANG PA,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-23A","44x7","54x10","MS",NA,NA,NA,"@023A *, ,(CES PA 'DI YANG ^ RDO RJE 'CHANG RJE BTZUN BKA' DRIN MTSUNGS MED SPANG BA'I SANGS RGYAS DE NYID KYI BZHED DGONGS SGRUB CHED DU, BTZUN GZUGS NGAG GI DBANG POS BGYIS PA STE, NONGS BA MCHIS NA STON PA MCHOG GI SPYAN SNGAR BSHAGS SHING BZOD PAR GSOL LO, ,)","Uuree"
"2445","M0058179-010","W1NLM266-I1N1M266","Tibetan","N","NO TITLE [@002A *, ,KUN LA DMAR KHRID LTA BUR NGO SPROD PAR MDZAD PA'I LEGS BSHAD SNGAN MED PA BSLAB BYA CHEN MOR GRAGS PA MDZAD PA'I DGONGS PA NYID GZHIR BZUNG,]","NGAG DBANG PA,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","NGA PA,","2A-55A [*Missing page from 1A-1B*]","44x7","54x10","MS",NA,NA,NA,"@055A *, ,DE LTAR BKA' DRIN MTSUNGS MED ^RJE BTZUN BSTAN PA'I BDAG PO'I BKA' LUNG SGRUB CHED, 'DUL BA'I BSLAB BYA'I YAN LAG TU BTZUN BZUGS CHOS RJER SGRO BTAGS PA NGAG DBANG PAS, DGE SLONG GI SPANG BYA'I GTZO BO LTUNG BA SDE LNGA'I NANG NAS PHAM PA BZHI'I RNAM BZHAG BRJED BYANG DU BRIS GRUB PA LAGS SHING GZHAN RNAMS KYI RNAM BZHAG KYANG RIM GYIS BRJED BYANG DU BTAB PAR SPRO BZHIN PA'O,, ,,","Uuree"
"2446","M0058179-011","W1NLM266-I1N1M266","Tibetan","N","*, ,DGE SLONG GI SPANG BYA'I GTZO BO LTUNG BA SDE LNGA'I NANG NAS PHAM PA BZHI'I LTUNG BAS MGON PAR BYA TSUL BRJED BYANG DU BCAS PA BZHUGS SO, ,","NGAG DBANG PA,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-55A","44x7","54x10","MS",NA,NA,NA,"@055A *, ,DE LTAR BKA' DRIN MTSUNGS MED ^RJE BTZUN BSTAN PA'I BDAG PO'I BKA' LUNG SGRUB CHED, 'DUL BA'I BSLAB BYA'I YAN LAG TU BTZUN BZUGS CHOS RJER SGRO BTAGS PA NGAG DBANG PAS, DGE SLONG GI SPANG BYA'I GTZO BO LTUNG BA SDE LNGA'I NANG NAS PHAM PA BZHI'I RNAM BZHAG BRJED BYANG DU BRIS GRUB PA LAGS SHING GZHAN RNAMS KYI RNAM BZHAG KYANG RIM GYIS BRJED BYANG DU BTAB PAR SPRO BZHIN PA'O,, ,,","Uuree"
"2447","M0058180-001","W1NLM267-I1N1M267","Tibetan","N","*, ,SPANG BA'I LTUNG BYED KYIS MGOS PAR BYED TSUL BRJED BYANG DU BYAS PA BZHUGS SO,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-59A","47x6.5","54x9","MS",NA,NA,NA,NA,"Uuree"
"2448","M0058180-002","W1NLM267-I1N1M267","Tibetan","N","*, ,DGE SLONG GI BSLAB BYA MDOR BSDUS GO BDE BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-89B","47x6.5","54x9","MS",NA,NA,NA,NA,"Uuree"
"2449","M0058181-001","W1NLM268-I1N1M268","Tibetan","N","*, ,DAG PA GSER GYI MDO THIG ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","CHA PA,","1A-35B","32x7","35x9","MS",NA,NA,NA,NA,"Uuree"
"2450","M0058181-002","W1NLM268-I1N1M268","Tibetan","N","*, ,AU RGYAN SLOB DPON PADMA 'BYUNG GNAS KYIS MDZAD PA'I RDZU 'PHRUL GYI 'PHRUR BLTO BRGYA RTZA RGYA NAG NAS 'BYUNG BA'I TSUL ZHES BYA BA BZHUGS SO, ,","SLOB DPON PADMA 'BYUNG GNAS,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-32B","32x7","35x9","MS",NA,NA,NA,NA,"Uuree"
"2451","M0058181-003","W1NLM268-I1N1M268","Tibetan","N","*, ,GZHAN YANG CHUNG DUR BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1B-3A","30x7","35x8.5","MS",NA,NA,NA,NA,"Uuree"
