"","NLM Catalog #","Input file number","Language(s) of the main text","Language(s) of the main text_1","Full Title (native language)","Author's name (transliterated)","Dates of the author","Translator","Dates of the translator","Editor","Dates of the editor","Year of this edition-heze barlasan tuhai","Format of the book","Cover type","Condition of book","Readability of book","Volume","Page numbers","Size of printed area","Size of pages","Location of this copy","Publisher","Copyright owner","Location of printing-","Drawings or illustrations","Colophon-tugsguliin ug","Neree bich"
"727","M0058015-001","W1NLM102-I1NLM102","Tibetan","N","*, ,'PHAGS PA NOR GYI RGYUN ZHES BYA BA KHYIM BDAG ZLA BA BZANG POS ZHUS PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A-11B","25.5x6","30.5x8","XYL",NA,NA,NA,NA,NA,NA
"728","M0058015-002","W1NLM102-I1NLM102","Tibetan","N","*, ,BARnA SHA WA RI'I PHYUGS NAD ZHI BAR BYED PA'I GZUNGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A-2B","25.5x6","30.5x8","XYL",NA,NA,NA,NA,NA,NA
"729","M0058015-003","W1NLM102-I1NLM102","Tibetan","N","*, ,GNOD SBYIN AA PA R'A DZI TA'I GZUNGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","2B-3B","25.5x6","30.5x8","XYL",NA,NA,NA,NA,NA,NA
"730","M0058015-004","W1NLM102-I1NLM102","Tibetan","N","*, ,GNOD SBYIN GTER BDAG DRUG GI GZUNGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","3B-5A","25.5x6","30.5x8","XYL",NA,NA,NA,NA,NA,NA
"731","M0058015-005","W1NLM102-I1NLM102","Tibetan","N","*, ,'PHAGS PA TSOGS KYI BDAG PO'I SNYING PO BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","5A-6B","25.5x6","30.5x8","XYL",NA,NA,NA,NA,NA,NA
"732","M0058015-006","W1NLM102-I1NLM102","Tibetan","N","*, ,GHA NA PA TI'I GZUNGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","6B-7B","25.5x6","30.5x8","XYL",NA,NA,NA,NA,NA,NA
"733","M0058015-007","W1NLM102-I1NLM102","Tibetan","N","*, ,TSOGS KYI BDAG PO'I SNYING PO BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","7B-8A","25.5x6","30.5x8","XYL",NA,NA,NA,NA,NA,NA
"734","M0058015-008","W1NLM102-I1NLM102","Tibetan","N","*, ,DPAL LHA MO NOR RGYUN MA'I GZUNGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","8A-9B","25.5x6","30.5x8","XYL",NA,NA,NA,NA,NA,NA
"735","M0058015-009","W1NLM102-I1NLM102","Tibetan","N","` LHA MO NOR RGYUN MA'I GZUNGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","9B-11A","25.5x6","30.5x8","XYL",NA,NA,NA,NA,NA,NA
"736","M0058015-010","W1NLM102-I1NLM102","Tibetan","N","*, ,GNOD SBYIN KU BE RA NOR SPEL BA'I GZUNGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A-6A","25.5x6","30.5x8","XYL",NA,NA,NA,NA,NA,NA
"737","M0058015-011","W1NLM102-I1NLM102","Tibetan","N","*, ,'BRU SPEL BA'I GZUNGS BZHUGS SO,, ,,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","POOR","V:N","1A-3A","25.5x6","30.5x8","XYL",NA,NA,NA,NA,NA,NA
"738","M0058015-012","W1NLM102-I1NLM102","Tibetan","N","*, ,'PHAGS PA NOR BU BZANG PO'I GZUNGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A-3B","25.5x6","30.5x8","XYL",NA,NA,NA,NA,NA,NA
"739","M0058015-013","W1NLM102-I1NLM102","Tibetan","N","*, ,AA PA RA YANG DAG SHE KYI GZUNGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A-4A","26x6","30.5x8","XYL",NA,NA,NA,NA,NA,NA
"740","M0058015-014","W1NLM102-I1NLM102","Tibetan","N","*, ,BSANGS CHOG BKRA SHIS CHAR 'BEBS MCHOD SPRIN RGYA MTSO ZHES BYA BA BZHUGS SO, ,","BLO BZANG CHOS KYI RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A-5A","32x6.5","35x9","XYL",NA,NA,NA,NA,"@005A *, ,(CES CHOS SMRA BA BLO BZANG CHOS KYI RGYAL MTSAN GYIS SMRAS PA DGE LEGS SU GYUR CIG, ,,BKRA SHIS,, ,,)",NA
"741","M0058015-015","W1NLM102-I1NLM102","Tibetan","N","*, ,HANG KAS LHA CHEN GYI GSOL MCHOD BSDUS PA BZHUGS SO, ,","BLO BZANG 'PHRIN LAS,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","5B-6A","32x6","35.5x9","XYL",NA,NA,NA,NA,"@001B (CES HANG KAS LHA CHEN GYI GSOL MCHOD BSDUS PA 'DI NI MKHYEN PA'I MNGA' BDAG SLOB DPON RIN PO CHE THU NU MAL AER TE NI DGE SLONG GIS 'DI LTA BU ZHIG DGOS ZHES GSUNG GIS BSKUL BA'I BZHED PA BZHIN DZA YA PAntI TA BLO BZANG 'PRIN LAS KYIS SBYAR BA DGE LEGS 'PHEL,, ,,)",NA
"742","M0058015-016","W1NLM102-I1NLM102","Tibetan","N","*, ,RTEN LA KSU KHRUS GSOL BA'I TSUL DANG MAndAL RGYAS PA RNAMS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-8B","32x6","35.5x9","XYL",NA,NA,NA,NA,NA,NA
"743","M0058015-017","W1NLM102-I1NLM102","Tibetan","N","*, ,THOG MTHA' BAR DGE BA'I SMON LAM BZHUGS SO, ,","BLO BZANG GRAGS PA,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-5A","32x6.5","35.5x9","XYL",NA,NA,NA,NA,"@005A *, ,(CES THOG MA DANG BAR DANG THA MAR DGE BA'I SMON LAM 'DI NI MANG DU THOS PA'I RGYAL KHAMS PA BLO BZANG GRAGS PA'I DPAL GYIS GZHO STOD DPAL GYI 'BRI KHUNG THEL DU SBYAR BA'O,, ,,)",NA
"744","M0058015-018","W1NLM102-I1NLM102","Tibetan","N","*, ,BDE BA CAN GYI ZHING DU SKYE BA 'DZIN PA'I SMON LAM ZHING MCHOG SGO 'BYED CES BYA BA BZHUGS SO, ,","BLO BZANG GRAGS PA,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-8A","32x6.5","35.5x9","XYL",NA,NA,NA,NA,"@008A *, ,(BDE BA CAN GYI ZHING DU SKYE BA 'DZIN PA'I SMON LAM ZHING MCHOG SGO 'BYED CES BYA BA 'DI NI BLO BZANG GRAGS PA'I DPAL GYIS RDZING PHYI'I GTZUG LAG KHANG DU SBYAR BA'I YI GE PA NI BZANG SKYONG GIS BGYIS SO,, ,,)",NA
"745","M0058015-019","W1NLM102-I1NLM102","Tibetan","N","*, ,BYANG CHUS SEMS DPA'I SPYOD PA LA 'JUG PA LAS, BSNGO BA ZHES BYA BA'I LE'U BZHUGS SO, ,","SH'AN TA DE BA,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-6B","32x6.5","35.5x9","XYL",NA,NA,NA,NA,"@006B (BYANG CHUB SEMS DPA'I SPYOD PA LA 'JUG PA, SLOB DPON SH'AN TA DE BAS MDZAD PA RDZOGS SO, ,)",NA
"746","M0058015-020","W1NLM102-I1NLM102","Tibetan","N","*, ,BYAMS PA'I SMON LAM BZHUGS SO, ,","DGE 'DUN GRUB,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-2A","32x6.5","35.5x9","XYL",NA,NA,NA,NA,"@002A*, ,(CES PA RJE THAMS CAD MKHYEN PA DGE 'DUN GRUB KYIS MDZAD PA'O,, ,,)",NA
"747","M0058015-021","W1NLM102-I1NLM102","Tibetan","N","*, ,TSE MDO BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1B-2A","32x6.5","35.5x9","XYL",NA,NA,NA,NA,NA,NA
"748","M0058015-022","W1NLM102-I1NLM102","Tibetan","N","*, ,YE SHES KYI MKHA' 'GRO MA SENG GE'I GDONG PA CAN GTZO 'KHOR GSUM GYI SGRUB THABS BZHUGS SO, ,","TSUL KHRIMS MING CAN,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A-3A","32x6","35.5x9","XYL",NA,NA,NA,NA,"@003A *, ,(ZHES MKHA' 'GRO MA SENG GE'I GDONG BA CAN GYI BZLOG BSGYUR 'DI YANG DPAL LDAN BLA MA DAM PA BLO BZANG 'PHRIN LAS DPAL BZANG PO'I ZHABS BRTAN PA'I RIM GROR NGAG 'DON DU BYA BA'I PHYIR DU BKA' BSGYUR BA TSUL KHRIMS MING CAN GYIS LHAN THABS SU BSGRIGS PA'O,, ,,)",NA
"749","M0058015-023","W1NLM102-I1NLM102","Tibetan","N","*, ,GTOR 'BUL LHUN GRUB BDE STONG MA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-3A","32x6","35.5x9","XYL",NA,NA,NA,NA,NA,NA
"750","M0058015-024","W1NLM102-I1NLM102","Tibetan","N","*, ,BSTAN 'BAR MA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-3A","32x6.5","35.5x9","XYL",NA,NA,NA,NA,NA,NA
"751","M0058015-025","W1NLM102-I1NLM102","Tibetan","N","*, ,RJE BTZUN 'JAM PA'I DBYANGS KYI BSTOD PA SHES RAB GSAL BYED CES BYA BA BZHUGS SO, ,","BLO BZANG CHOS KYI RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A-2A","32x6.5","35.5x9","XYL",NA,NA,NA,NA,"@002A *, ,(CES PA 'DI NI TSE DANG LDAN PA LEGS PA RGYAL MTSAN GYIS NAN CHER BSKUL BA LA BRTEN NAS, BLO BZANG CHOS KYI RGYAL MTSAN GYIS SHANGS MDO RGONG TSANG GI RI KHROD DU SBYAR BA'O, ,)",NA
"752","M0058015-026","W1NLM102-I1NLM102","Tibetan","N","NO TITLE [@001B*, ,SVASTI, NYON MONGS BRAL BA'I MCHOG GYUR RAB 'BYOR CHE, ,DANG PO'I SANGS RGYAS MNGA' BDAG 'JAM DPAL GRAGS, ,KLU SGRUB DGONGS PA RGYA CHER SPEL MDZAD PA'I, ,LEGS LDAN 'BYED KYI ZHABS LA GSOL BA 'DEBS, ,]","BLO BZANG YE SHES,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1B-2A","32x6","35.5x9","XYL",NA,NA,NA,NA,NA,NA
"753","M0058015-027","W1NLM102-I1NLM102","Tibetan","N","NO TITLE [@001B*, ,DGE BA 'DI YIS MYUR DU BDAG, ,'JAM DPAL DPA' BO GRUB GYUR NAS, ,'GRO BA KUN KYANG 'JAM DBYANGS KYI, ,GO 'PHANG MCHOG 'GOD PAR SHOG, ,]","DGE 'DUN RGYA MTSO,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1B-3B","32x6","35.5x9","XYL",NA,NA,NA,NA,NA,NA
"754","M0058015-028","W1NLM102-I1NLM102","Tibetan","N","*, ,DPAL GSANG BA 'DUS PA'I SMON LAM BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-4B","32x6","35.5x9","XYL",NA,NA,NA,NA,NA,NA
"755","M0058015-029","W1NLM102-I1NLM102","Tibetan","N","*, ,LHAG PA'I SMON LAM BZHUGS SO, ,","KLU SGRUB,",NA,NA,NA,NA,NA,NA,NA,"N/A","MEDIUM","MEDIUM","V:N","1B-3A","32x6","35.5x9","XYL",NA,NA,NA,NA,"@003A *, ,(MGON PO KLU SGRUB KYI MDZAD PA LHAG PA'I SMON LAM R",NA
"756","M0058015-030","W1NLM102-I1NLM102","Tibetan","N","*, ,'PHAGS PA BYAMS PA'I SMON LAM GYI RGYAL PO DANG, BYAMS PA'I SKU GZUGS MA, BDEN TSIG SMON LAM BZHUGS, ,'PHAGS PA BYAMS PA'I SMON LAM GYI RGYAL PO NI,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","POOR","POOR","V:N","1A-4B","29x6","34x8","XYL",NA,NA,NA,NA,NA,NA
"757","M0058015-031","W1NLM102-I1NLM102","Tibetan","N","*, ,BYAMS PA'I SKU GZUGS MA BZHUGS SO, ,","DGE 'DUN GRUB,",NA,NA,NA,NA,NA,NA,NA,"N/A","POOR","POOR","V:N","5A-5B","29x6","34x8","XYL",NA,NA,NA,NA,"@005B (CES PA RJE THAMS CAD MKHYEN PA DGE 'DUN GRUB KYIS MDZAD PA'O, ,)",NA
"758","M0058015-032","W1NLM102-I1NLM102","Tibetan","N","*, ,BDEN TSIG SMON LAM BZHUGS SO, ,","DGE 'DUN RGYA MTSO,",NA,NA,NA,NA,NA,NA,NA,"N/A","POOR","POOR","V:N","6A-7A","29x6","34x8","XYL",NA,NA,NA,NA,"@006B (CES MCHOG TU GRUB PA'I BDEN TSIG SMON LAM 'DI, BI SHVA KARM'A'I RNAM 'PHRUL @007A *, ,DPON MO CHE NYI MA DPAL GYIS BSKUL BA'I NGOR CHOS SMRA BA'I BTZUN PA DGE 'DUN RGYA MTSO'I DPAL GYIS CHOS 'KHOR RGYAL GYI GTZUG LAG KHANG DU NYE BAR SBYAR BA'O,, ,,BKRA SHIS, ,)",NA
"759","M0058015-033","W1NLM102-I1NLM102","Tibetan","N","*, ,DZA YA PAntITA BLO BZANG 'PHRIN LAS DPAL BZANG PO'I SKU BSTOD BLO LDAN BSKAL BZANG MA BZHUGS SO, ,","BLO BZANG 'PHRIN LAS,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-3B","30.5x6","36x8.5","XYL",NA,NA,NA,NA,"@012A *, ,(CES MYUR MDZAD YE SHES MGON PO LA GSOL MCHOD PHUL NI 'DOD DON GSOL BA BTAB PA 'DI NI DZA YA PAntI BLO BZANG SNYAN GRAGS DGE LEGS RNAM RGYAL DPAL BZANG PO'I SLOB MA BLO BZANG DPAL MGON ZHES BYA BAS RANG GI KHA BTON RGYUN 'DON PA'I CHED DU TSANG MA'I SKYES BU DAM PA GSUNG BZHIN DU BGYIS PA'O,, ,,BKRA SHIS DPAL 'BAR 'DZAM GLING BRGYAN DU BYON, ,MANGGALAm,, ,,)",NA
"760","M0058015-034","W1NLM102-I1NLM102","Tibetan","N","*, ,BKRA SHIS CHAR 'BEBS BSANGS BZHUGS SO, ,","BLO BZANG CHOS KYI RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","2A-5B [*MISSING PAGE FROM 1A,1B*]","29x6","35x8.5","XYL",NA,NA,NA,NA,"@005B (CES CHOS SMRA BA BLO BZANG CHOS KYI RGYAL MTSAN GYIS SMRAS PA DGE LEGS SU GYUR CIG, ,,BKRA SHIS, ,)",NA
"761","M0058015-035","W1NLM102-I1NLM102","Tibetan","N","*, ,BSANG CHOG SHIN TU BSDUS PA BZHUGS SO, ,","LHA'I BTZUN PA PAntI TA,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","5B-7B","29x6","35x8.5","XYL",NA,NA,NA,NA,"@007B (CES BSANG CHOG SHIN TU BSDUS PA 'DI YANG BSANG 'CHAG MED GTONG BAR 'DOD KYANG SNA MANG BYA BAS GA-YENG PA RNAMS LA PHAN PHYIR, ^LHA'I BTZUN PA PAntI TA'I MING 'CHANG GIS BGYIS PA'O, ,)",NA
"762","M0058015-036","W1NLM102-I1NLM102","Tibetan","N","` RTA MGRIN YANG GSANG KHROS PA LHA DGU'I BSANG MCHOD 'DOD DGU'I CHAR 'BEBS BZHUGS SO, ,","NGAG DBANG BLO BZANG CHOS LDAN,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","7B-8B","29x6","35x8.5","XYL",NA,NA,NA,NA,"@008B (CES PA 'DI NI DGE SLONG 'JAM DBYANGS RGYA MTSOS BKUL BA'I NGOR BAN RGAN GYIN PA NGAG DBANG BLO BZANG CHOS LDAN GYIS ZUNG GRU ZI RU SBYAR BA'I YI GE PA NI DGE SLONG BSTAN 'DZIN CHOS DAR RO, ,)",NA
"763","M0058015-037","W1NLM102-I1NLM102","Tibetan","N","*, ,KHANG KA'I RGYAL PO'I GSOL KHA SHIN TU BSDUS PA BZHUGS SO, ,","BLO BZANG MING 'CHANG BA,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","POOR","V:N","8B-11A","29x6","35x8.5","XYL",NA,NA,NA,NA,"@010A *, ,(CES PA KHANG KA'I RGYAL PO'I GSOL KHA SHIN TU BSDUS PA 'DI NI DON GNYER CAN 'GAS BSKUL BA'I NGOR SA MTHA'I LHA'I BTZUN PA ^BLO BZANG MING 'CHANG BAS DGA' LDANN BKRA SHIS DGE 'PHEL GYI BLA BRANG DU BKOD PA'O, ,)",NA
"764","M0058015-038","W1NLM102-I1NLM102","Tibetan","N","NO TITLE [@001B*, ,KYEE GRIB GNYIS KUN BRAL 'GYUR MED DE, ,BRTAN GA-YO KUN GYI RANG BZHIN CHE, ,BLA MED DON DAM DPAL GA-YANG DE, ,DE RING 'DI RU GA-YANG LA BYON, ,]",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","MEDIUM","MEDIUM","V:N","1B-2B","29x6","35x8.5","XYL",NA,NA,NA,NA,NA,NA
"765","M0058015-039","W1NLM102-I1NLM102","Tibetan","N","*, ,MGON DKAR YID BZHIN NOR BU'I SGRUB THABS BZHUGS SO, ,","BLO BZANG CHOS KYI RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A-5A","31x5.5","36x8.5","XYL",NA,NA,NA,NA,"@005A *, ,(ZHES PA 'DI YANG CHOS SMRA BA'I BTZUN PA BLO BZANG CHOS KYI RGYAL MTSAN GYIS SNYE MO GZHI SA KAR 'PHRAL DU SBYAR BA'O, ,)",NA
"766","M0058015-040","W1NLM102-I1NLM102","Tibetan","N","*, ,MGON DKAR YID BZHIN NOR BU'I BSTOD PA BZHUGS SO, ,","BSOD NAMS RGYA MTSO,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","5A-6A","31x5.5","36x8.5","XYL",NA,NA,NA,NA,"@006A *, ,(CES PA 'DI NI SPRUL SKU BSOD NAMS RGYA MTSOS MDZAD PA'O,, ,,BKRA SHIS PA DANG DGE BA 'PHEL GYUR CIG,, ,,)",NA
"767","M0058015-041","W1NLM102-I1NLM102","Tibetan","N","*, ,DAM CAN RDO RJE LEGS PA'I MNGON RTOGS BSKANG BSHAGS BSTOD BSKUL DANG BCAS PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A-8A","31.5x6","36.5x8.5","XYL",NA,NA,NA,NA,NA,NA
"768","M0058015-042","W1NLM102-I1NLM102","Tibetan","N","*, ,CHOS SKYONG DREGS PA LCAM SRING GI MNGON RTOGS BSKANG BSHAGS BSTOD BSKUL DANG BCAS PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A-4A","31.5x6","36.5x8.5","XYL",NA,NA,NA,NA,NA,NA
"769","M0058015-043","W1NLM102-I1NLM102","Tibetan","N","*, ,CHOS SKYONG DREGS PA LCAM SRING GI MCHOD PHRENG NANG MCHOD DANG BCAS PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","4A-9A","31.5x6","36.5x8.5","XYL",NA,NA,NA,NA,NA,NA
"770","M0058015-044","W1NLM102-I1NLM102","Tibetan","N","*, ,CHOS SKYONG DREGS PA LCAM SRING GI CHAS 'BUL MTSOD SBYIN DANG BCAS PA BZHUGS SO, ,","DAM PA'I MING 'CHANG,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","9B-11A","31.5x6","36.5x8.5","XYL",NA,NA,NA,NA,"@011A *, ,(CES CHOS SKYONG DREGS PA LCAM SRING GI CHAS 'BUL MTSOD SBYIN DANG BCAS PA 'DI RANG NYID MOS BAS PHYAG MTSAN SOGS GSANG BSKRUN GYI 'BUL TSIG RTZE MA 'DOD YOD PA NYA CHA [NGA]? RTA NAG SDE BA LUNG SHAR BA'I RIGS RGYUD SLOB BU DBU MDZAD PHUN TSOGS RGYAL MTSAN GYIS BSKUL BA'I RKYEN GYIS, DAM PA'I MING 'CHANG BAS BGYIS PA'I YI GE PA NI DGE SLONG BLO BZANG GIS SO, ,)",NA
"771","M0058015-045","W1NLM102-I1NLM102","Tibetan","N","` BSKUL BYA BA NI,","DGE 'DUN RGYA MTSO,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","11A-15A","31.5x6","36.5x8.5","XYL",NA,NA,NA,NA,"@015A *, ,('DI RJE DGE 'DUN RGYA MTSO DPAL GYI GSUNG NGO, ,)",NA
"772","M0058015-046","W1NLM102-I1NLM102","Tibetan","N","*, ,BSTOD PA BYA BA NI,","PADMA RGYAL PO RTZAL,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","15A-17B","31.5x6","36.5x8.5","XYL",NA,NA,NA,NA,"@016B (CES GNOD SBYIN DREGS PA LA MA DRAL PA BSTOD PA KA SMAD SUM CUR BSGRIGS PA 'DI NI PADMA DBANG CHEN GYI RNAL 'BYOR BAR RLOM PA PADMA RGYAL PO RTZAL GYIS SBYAR BA'O, ,)",NA
"773","M0058015-047","W1NLM102-I1NLM102","Tibetan","N","*, ,LHA CHEN TSANGS PA CHEN PO'I MNGON RTOGS BSKANG BSHAGS BSTOD PA BZHUGS SO, ,","DAM PA'I MING CAN,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A-8A","31.5x6","36.5x8.5","XYL",NA,NA,NA,NA,"@006A *, ,(SLOB BU BLO BZANG CHOS DBANG RDO RJE'I NGOR DAM PA'I MING CAN GYIS BRIS,)",NA
"774","M0058015-048","W1NLM102-I1NLM102","Tibetan","N","*, ,MKHAN CHEN CHOS KYI RGYAL PO BLO BZANG DBANG CHEN DPAL 'BAR DPAL BZANG PO'I 'KHRUNGS RAB GSOL 'DEBS RNAMS BZHUGS, ,","BLO BZANG SKAL BZANG RGYA MTSO,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-3B","29x6","35x9","XYL",NA,NA,NA,NA,"@003B (CES NO MIN HAN BLO BZANG DBANG CHEN DPAL 'BAR GYI 'KHRUNGS RABS DANG 'BREL BA'I GSOL 'DEBS ZHABS BRTAN SMON TSIG 'DI NI KHAL KHA NAS DANG STOBS DANG LDAN PA CAN JUN CHING WANG BDE CHEN SKYABS KYIS BSKUL BA'I NGOR, ^SH'AKYA'I DGE SLONG BLO BZANG SKAL BZANG RGYA MTSOS SBYAR BA'O,, ,,DGE LEGS 'PHEL, ,)",NA
"775","M0058015-049","W1NLM102-I1NLM102","Tibetan","N","HAL HA NO MON HAN AER TE NI PAntI TA KHU THOG THU'I 'KHRUNGS RABS DANG 'BREL BA'I GSOL 'DEBS BZHUGS SO, ,","BLO BZANG DPAL LDAN YE SHES,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","3B-6B","29x6","35x9","XYL",NA,NA,NA,NA,"@006B (CES HAL HA NO MON HAN AER TE NI PAntI TA KHU THOG THU'I 'KHRUNGS RABS DANG 'BREL BA'I GSOL 'DEBS DKYIL 'KHOR RGYA MTSO'I MNGA' BDAG THAMS CAD MKHYEN GZIGS CHEN PO BLO BZANG SKAL BZANG RGYA MTSO DPAL BZANG PO' DE NYID KYIS GNANG BA LAS RGYAS TZAM ZHIG DGOS ZHES DANG STOBS DANG LDAN PA CAN CUN KHO SHOS CHING DBANG BDE CHEN SKYABS DANG, SLOB DPON GU SHRI NGAG DBANG PHUN TSOGS, THUNG GA LAG CHOS RJE, THO YON CHOS RJE, DA'I CHING CHOS RJE, PHYAG MDZOD RGYA MTSO RIN CHEN, GRVA TSANG BZHI'I GRVA RIGS RNAMS DANG, NO YON CHOS RJE GSANG BDAG SOGS SAN NO YON GYI SHOG BCAS NAS BSKUL BA LTAR, ^SH'AKYA'I DGE SLONG BLO BZANG DPAL LDAN YE SHES KYIS SBYAR BA'O,, ,,)",NA
"776","M0058015-050","W1NLM102-I1NLM102","Tibetan","N","*, ,'PHAGS PA BZANG PO SPYOD PA'I SMON LAM GYI RGYAL PO ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-9A","29x6","35x9","XYL",NA,NA,NA,NA,NA,NA
"777","M0058015-051","W1NLM102-I1NLM102","Tibetan","N","*, ,BYANG CHUB SEMS DPA'I SPYOD PA 'JUGS PA LAS, BSNGO BA'I LE'U BCU PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-7B","29x6","35x9","XYL",NA,NA,NA,NA,NA,NA
"778","M0058015-052","W1NLM102-I1NLM102","Tibetan","N","*, ,ZHING MCHOG BDE BA CAN DU SKYE BA'I SMON LAM BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-8A","29x6","35x9","XYL",NA,NA,NA,NA,NA,NA
"779","M0058015-053","W1NLM102-I1NLM102","Tibetan","N","*, ,THOG MTHA' BAR DGE BA'I SMON LAM BZHUGS SO, ,","BLO BZANG GRAGS PA,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-5A","29x6","35.5x9","XYL",NA,NA,NA,NA,"@005A *, ,(CES THOG MA DANG BAR DANG THA MAR DGE BA'I SMON LAM 'DI NI MANG DU THOS PA'I RGYAL KHAMS PA BLO BZANG GRAGS PA'I DPAL GYIS GZHO STONG DPAL GYIS 'BRI KHUNG THEL DU SBYAR BA'O,, ,,SARBA MANGGA LAm BHA WANTU, ,)",NA
